id;tabla;fuente;duplicado_en_b;precio;area;precio_m2;lat;lon;manzana;barrio;localidad;codigo_predial;estrato;estrato_num;avaluo;anio;habitaciones;banios;plantas;piso;anio_construccion;uso;condicion_predio;clase_unidad_principal;origen_predio;origen_caract;origen_atributos;npn_remapeado;area_es_suma_pisos;area_confiable;es_vis;precio_valido;area_valida;vivienda_sin_ambientes;vivienda_en_sotano;precio_m2_en_rango;apto_modelo
B:18470;B;observatorio;False;210000000,0;156,0;1346153,8461538462;10,972688581445414;-74,79443018354269;"=""08001010500000701""";LOMA FRESCA;SUROCCIDENTE;"=""080010105000007010001000000000""";Bajo_2;2;118497000,0;2019;2,0;1,0;1,0;1,0;1991,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18476;B;observatorio;False;240000000,0;112,0;2142857,1428571427;10,969180509686677;-74,78770670588608;"=""08001010500000329""";ATLANTICO;SURORIENTE;"=""080010105000003290012901010002""";Medio_Bajo_3;3;146338000,0;2019;3,0;4,0;1,0;1,0;2014,0;Residencial_Vivienda_Hasta_3_Pisos_En_PH;PH_Unidad_Predial;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18477;B;observatorio;False;220000000,0;111,0;1981981,981981982;10,969375817113793;-74,78758624722924;"=""08001010500000329""";ATLANTICO;SURORIENTE;"=""080010105000003290012901010014""";Medio_Bajo_3;3;145143000,0;2019;3,0;4,0;1,0;1,0;2010,0;Residencial_Vivienda_Hasta_3_Pisos_En_PH;PH_Unidad_Predial;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18478;B;observatorio;False;240000000,0;143,0;1678321,6783216784;10,969479969717952;-74,78777887125908;"=""08001010500000329""";ATLANTICO;SURORIENTE;"=""080010105000003290012901010018""";Medio_Bajo_3;3;186867000,0;2019;3,0;4,0;1,0;1,0;2014,0;Residencial_Vivienda_Hasta_3_Pisos_En_PH;PH_Unidad_Predial;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18479;B;observatorio;False;240000000,0;112,0;2142857,1428571427;10,96952670530495;-74,78762161470975;"=""08001010500000329""";ATLANTICO;SURORIENTE;"=""080010105000003290012901010021""";Medio_Bajo_3;3;146303000,0;2019;3,0;4,0;1,0;1,0;2014,0;Residencial_Vivienda_Hasta_3_Pisos_En_PH;PH_Unidad_Predial;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18480;B;observatorio;False;220000000,0;112,0;1964285,7142857143;10,969481191189283;-74,78752125603432;"=""08001010500000329""";ATLANTICO;SURORIENTE;"=""080010105000003290012901010023""";Medio_Bajo_3;3;146452000,0;2019;3,0;4,0;1,0;1,0;2010,0;Residencial_Vivienda_Hasta_3_Pisos_En_PH;PH_Unidad_Predial;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18481;B;observatorio;False;105000000,0;118,0;889830,5084745763;10,968840769010995;-74,78974821001714;"=""08001010500000382""";ATLANTICO;SURORIENTE;"=""080010105000003820010000000000""";Medio_Bajo_3;3;108335000,0;2019;5,0;2,0;1,0;1,0;2011,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18486;B;observatorio;False;348300000,0;114,0;3055263,1578947366;10,968998908103472;-74,79375545076326;"=""08001010500000633""";SAN ISIDRO;SUROCCIDENTE;"=""080010105000006330024901010001""";Bajo_2;2;133885000,0;2019;3,0;3,0;1,0;1,0;1987,0;Residencial_Vivienda_Hasta_3_Pisos_En_PH;PH_Unidad_Predial;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18487;B;observatorio;False;230000000,0;142,0;1619718,309859155;10,973572961069127;-74,79204943780336;"=""08001010500000628""";SAN ISIDRO;SUROCCIDENTE;"=""080010105000006280007000000000""";Medio_Bajo_3;3;154267000,0;2019;4,0;1,0;1,0;1,0;2011,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;False;True;False;True;True;False;False;True;True
B:18488;B;observatorio;False;215000000,0;198,0;1085858,5858585858;10,972922375391217;-74,79184611226458;"=""08001010500000628""";SAN ISIDRO;SUROCCIDENTE;"=""080010105000006280030000000000""";Medio_Bajo_3;3;90697000,0;2019;3,0;2,0;2,0;1,0;1993,0;Residencial_Vivienda_Hasta_3_Pisos;NPH;vivienda;unidad_2022;unidad;;False;True;True;False;True;True;False;False;True;True
