fecha,ipvu_nominal,ipvu_real
2015-03-31,1479.38,118.41
2015-06-30,1534.19,120.96
2015-09-30,1550.48,121.17
2015-12-31,1546.70,118.58
2016-03-31,1630.10,121.18
2016-06-30,1658.26,120.78
2016-09-30,1688.82,122.02
2016-12-31,1695.53,122.48
2017-03-31,1722.56,121.72
2017-06-30,1768.87,123.34
2017-09-30,1798.01,125.08
2017-12-31,1810.14,125.48
2018-03-31,1828.47,124.83
2018-06-30,1895.25,127.99
2018-09-30,1885.15,127.08
2018-12-31,1867.96,125.38
2019-03-31,1930.37,127.77
2019-06-30,1955.78,127.83
2019-09-30,1994.24,129.51
2019-12-31,1989.23,128.53
2020-03-31,2027.25,129.33
2020-06-30,1975.30,125.45
2020-09-30,2015.68,128.44
2020-12-31,2023.65,128.64
2021-03-31,2071.86,130.14
2021-06-30,2119.05,130.84
2021-09-30,2146.09,131.19
2021-12-31,2155.03,130.45
2022-03-31,2235.15,130.47
2022-06-30,2265.95,128.18
2022-09-30,2290.62,126.57
2022-12-31,2271.97,122.36
2023-03-31,2411.14,124.32
2023-06-30,2401.42,120.81
2023-09-30,2481.15,123.00
2023-12-31,2383.48,116.68
2024-03-31,2601.41,124.40
2024-06-30,2586.29,121.43
2024-09-30,2664.49,124.25
2024-12-31,2625.63,121.96
2025-03-31,2711.84,123.11
2025-06-30,2841.83,126.90
2025-09-30,2884.61,127.93
2025-12-31,2937.46,129.44
2026-03-31,3057.95,131.58
